zip,lat,lng
00601,18.181,-66.75
00602,18.362,-67.176
00603,18.455,-67.12
00606,18.158,-66.933
00610,18.295,-67.125
00612,18.402,-66.711
00616,18.42,-66.672
00617,18.445,-66.56
00622,17.991,-67.154
00623,18.083,-67.154
00624,18.065,-66.717
00627,18.413,-66.864
00631,18.191,-66.832
00637,18.077,-66.947
00638,18.296,-66.516
00641,18.263,-66.713
00646,18.433,-66.286
00647,17.964,-66.947
00650,18.349,-66.578
00652,18.448,-66.594
00653,17.985,-66.887
00656,18.054,-66.793
00659,18.407,-66.809
00660,18.135,-67.116
00662,18.468,-67.016
00664,18.21,-66.592
00667,18.003,-67.036
00669,18.277,-66.87
00670,18.24,-66.989
00674,18.423,-66.489
00676,18.378,-67.08
00677,18.333,-67.227
00678,18.434,-66.927
00680,18.182,-67.133
00682,18.221,-67.156
00683,18.108,-67.037
00685,18.333,-66.96
00687,18.319,-66.421
00688,18.382,-66.626
00690,18.496,-67.099
00692,18.41,-66.337
00693,18.423,-66.397
00694,18.482,-66.391
00698,18.065,-66.856
00703,18.248,-66.131
00704,17.966,-66.22
00705,18.129,-66.267
00707,18.014,-65.921
00714,18.003,-66.046
00715,18.011,-66.56
00716,17.992,-66.606
00717,18.003,-66.614
00718,18.232,-65.76
00719,18.29,-66.253
00720,18.218,-66.428
00723,18.043,-66.015
00725,18.219,-66.042
00727,18.215,-66.074
00728,17.99,-66.664
00729,18.324,-65.883
00730,18.031,-66.617
00731,18.11,-66.636
00735,18.253,-65.682
00736,18.104,-66.152
00738,18.304,-65.699
00739,18.177,-66.161
00740,18.331,-65.634
00741,18.164,-65.754
00745,18.352,-65.817
00751,18.001,-66.252
00754,18.147,-65.976
00757,17.995,-66.391
00765,18.13,-65.439
00766,18.133,-66.477
00767,18.069,-65.896
00769,18.104,-66.358
00771,18.187,-65.871
00772,18.439,-65.905
00773,18.343,-65.723
00775,18.327,-65.308
00777,18.224,-65.909
00778,18.264,-65.979
00780,18.103,-66.568
00782,18.226,-66.222
00783,18.304,-66.326
00784,18.011,-66.134
00786,18.155,-66.23
00791,18.137,-65.821
00794,18.199,-66.31
00795,18.06,-66.501
00801,18.35,-64.974
00802,18.341,-64.923
00820,17.743,-64.687
00823,17.724,-64.746
00824,17.745,-64.683
00830,18.339,-64.737
00831,18.327,-64.787
00840,17.748,-64.881
00841,17.768,-64.808
00850,17.71,-64.75
00851,17.732,-64.771
00901,18.465,-66.105
00906,18.464,-66.095
00907,18.453,-66.078
00909,18.442,-66.067
00911,18.451,-66.056
00912,18.445,-66.06
00913,18.45,-66.043
00915,18.437,-66.046
00917,18.421,-66.05
00918,18.421,-66.066
00920,18.414,-66.088
00921,18.392,-66.089
00923,18.409,-66.039
00924,18.399,-66.012
00925,18.4,-66.051
00926,18.345,-66.052
00927,18.388,-66.072
00934,18.411,-66.124
00936,18.395,-66.074
00949,18.431,-66.213
00950,18.46,-66.233
00951,18.428,-66.254
00952,18.427,-66.182
00953,18.361,-66.252
00956,18.321,-66.17
00957,18.368,-66.188
00959,18.392,-66.155
00960,18.417,-66.146
00961,18.413,-66.165
00962,18.445,-66.149
00965,18.434,-66.115
00966,18.402,-66.118
00968,18.406,-66.101
00969,18.368,-66.108
00971,18.319,-66.119
00976,18.336,-65.994
00979,18.444,-66.03
00982,18.411,-65.992
00983,18.418,-65.976
00985,18.411,-65.948
00987,18.338,-65.941
01001,42.062,-72.626
01002,42.364,-72.459
01003,42.39,-72.524
01005,42.419,-72.107
01007,42.279,-72.4
01008,42.19,-72.954
01009,42.212,-72.341
01010,42.128,-72.205
01011,42.3,-72.969
01012,42.375,-72.858
01013,42.155,-72.603
01020,42.173,-72.562
01022,42.198,-72.543
01026,42.465,-72.918
01027,42.295,-72.752
01028,42.062,-72.498
01029,42.193,-73.045
01030,42.073,-72.687
01031,42.329,-72.198
01032,42.458,-72.815
01033,42.245,-72.5
01034,42.099,-72.962
01035,42.356,-72.569
01036,42.063,-72.417
01037,42.373,-72.195
01038,42.385,-72.607
01039,42.404,-72.689
01040,42.212,-72.642
01050,42.287,-72.87
01053,42.356,-72.714
01054,42.469,-72.485
01056,42.184,-72.458
01057,42.094,-72.321
01060,42.321,-72.631
01062,42.328,-72.704
01063,42.319,-72.639
01066,42.407,-72.655
01068,42.351,-72.044
01069,42.188,-72.308
01070,42.518,-72.919
01071,42.16,-72.874
01072,42.457,-72.417
01073,42.227,-72.742
01074,42.388,-72.093
01075,42.256,-72.581
01077,42.053,-72.777
01079,42.198,-72.33
01080,42.186,-72.362
01081,42.061,-72.234
01082,42.294,-72.279
01083,42.204,-72.195
01084,42.392,-72.882
01085,42.154,-72.772
01086,42.13,-72.794
01088,42.392,-72.646
01089,42.125,-72.65
01092,42.192,-72.235
01093,42.442,-72.662
01094,42.359,-72.137
01095,42.138,-72.421
01096,42.397,-72.764
01097,42.178,-72.833
01098,42.394,-72.943
01103,42.104,-72.592
01104,42.134,-72.565
01105,42.1,-72.581
01106,42.048,-72.571
01107,42.121,-72.607
01108,42.081,-72.561
01109,42.12,-72.55
01118,42.094,-72.525
01119,42.125,-72.511
01128,42.092,-72.489
01129,42.119,-72.488
01151,42.152,-72.509
01199,42.121,-72.604
01201,42.448,-73.274
01220,42.624,-73.117
01222,42.059,-73.322
01223,42.312,-73.11
01224,42.513,-73.196
01225,42.563,-73.153
01226,42.481,-73.135
01229,42.276,-73.336
01230,42.173,-73.324
01235,42.426,-73.063
01236,42.266,-73.378
01237,42.548,-73.268
01238,42.298,-73.23
01240,42.368,-73.27
01242,42.334,-73.249
01243,42.35,-73.024
01244,42.118,-73.257
01245,42.187,-73.223
01247,42.699,-73.084
01253,42.207,-73.113
01254,42.382,-73.365
01255,42.107,-73.119
01256,42.594,-73.022
01257,42.085,-73.367
01258,42.109,-73.463
01259,42.075,-73.234
01260,42.296,-73.343
01262,42.292,-73.319
01264,42.232,-73.202
01266,42.312,-73.388
01267,42.672,-73.247
01270,42.515,-73.031
01301,42.627,-72.602
01330,42.514,-72.822
01331,42.562,-72.191
01337,42.689,-72.582
01338,42.573,-72.824
01339,42.604,-72.89
01340,42.695,-72.711
01341,42.497,-72.709
01342,42.544,-72.609
01343,42.658,-72.979
01344,42.613,-72.426
01346,42.693,-72.823
01347,42.559,-72.519
01349,42.563,-72.482
01350,42.728,-72.985
01351,42.54,-72.522
01354,42.624,-72.509
01355,42.459,-72.327
01360,42.677,-72.454
01364,42.605,-72.292
01366,42.476,-72.192
01367,42.696,-72.909
01368,42.679,-72.177
01370,42.593,-72.727
01373,42.475,-72.615
01375,42.467,-72.547
01376,42.595,-72.555
01378,42.674,-72.353
01379,42.556,-72.407
01420,42.585,-71.817
01430,42.657,-71.923
01431,42.676,-71.833
01432,42.567,-71.575
01434,42.539,-71.612
01436,42.602,-72.087
01438,42.562,-72.031
01440,42.584,-71.989
01450,42.612,-71.565
01451,42.502,-71.568
01452,42.49,-72.003
01453,42.52,-71.763
01460,42.536,-71.491
01462,42.583,-71.72
01463,42.671,-71.603
01464,42.574,-71.641
01467,42.49,-71.61
01468,42.543,-72.068
01469,42.665,-71.695
01473,42.555,-71.905
01474,42.67,-71.753
01475,42.668,-72.056
01501,42.199,-71.846
01503,42.385,-71.634
01504,42.04,-71.532
01505,42.355,-71.716
01506,42.181,-72.108
01507,42.134,-71.968
01510,42.412,-71.69
01515,42.21,-72.04
01516,42.053,-71.752
01518,42.127,-72.119
01519,42.203,-71.68
01520,42.336,-71.851
01521,42.047,-72.18
01522,42.376,-71.867
01523,42.484,-71.676
01524,42.25,-71.919
01525,42.107,-71.631
01527,42.192,-71.778
01529,42.037,-71.579
01531,42.319,-72.131
01532,42.323,-71.646
01534,42.142,-71.643
01535,42.268,-72.067
01536,42.231,-71.693
01537,42.159,-71.897
01540,42.116,-71.857
01541,42.454,-71.878
01542,42.204,-71.909
01543,42.388,-71.97
01545,42.285,-71.714
01550,42.06,-72.034
01560,42.175,-71.674
01561,42.444,-71.686
01562,42.247,-71.992
01564,42.448,-71.776
01566,42.103,-72.08
01568,42.177,-71.604
01569,42.056,-71.631
01570,42.048,-71.847
01571,42.054,-71.935
01581,42.268,-71.613
01583,42.369,-71.785
01585,42.241,-72.163
01588,42.119,-71.672
01590,42.132,-71.75
01602,42.269,-71.851
01603,42.244,-71.844
01604,42.253,-71.768
01605,42.29,-71.788
01606,42.315,-71.796
01607,42.226,-71.789
01608,42.262,-71.801
01609,42.285,-71.83
01610,42.247,-71.808
01611,42.238,-71.876
01612,42.297,-71.929
01701,42.32,-71.443
01702,42.282,-71.437
01718,42.52,-71.429
01719,42.486,-71.521
01720,42.484,-71.438
01721,42.258,-71.474
01730,42.499,-71.282
01731,42.457,-71.279
01740,42.44,-71.602
01741,42.537,-71.362
01742,42.463,-71.364
01745,42.292,-71.499
01746,42.196,-71.453
01747,42.123,-71.531
01748,42.224,-71.54
01749,42.389,-71.546
01752,42.35,-71.547
01754,42.426,-71.456
01756,42.094,-71.545
01757,42.159,-71.521
01760,42.285,-71.349
01770,42.232,-71.373
01772,42.303,-71.531
01773,42.426,-71.311
01775,42.43,-71.513
01776,42.383,-71.421
01778,42.344,-71.381
01801,42.489,-71.154
01803,42.503,-71.202
01810,42.648,-71.162
01821,42.549,-71.252
01824,42.591,-71.355
01826,42.68,-71.301
01827,42.676,-71.5
01830,42.796,-71.053
01832,42.791,-71.133
01833,42.728,-70.982
01834,42.754,-71.016
01835,42.751,-71.094
01840,42.707,-71.16
01841,42.712,-71.165
01843,42.69,-71.16
01844,42.742,-71.179
01845,42.674,-71.091
01850,42.656,-71.303
01851,42.628,-71.335
01852,42.632,-71.296
01854,42.649,-71.348
01860,42.839,-71.012
01862,42.579,-71.296
01863,42.634,-71.389
01864,42.578,-71.084
01867,42.535,-71.105
01876,42.612,-71.228
01879,42.668,-71.429
01880,42.502,-71.067
01886,42.586,-71.44
01887,42.565,-71.165
01890,42.453,-71.144
01901,42.46,-70.946
01902,42.471,-70.942
01904,42.492,-70.974
01905,42.466,-70.976
01906,42.468,-71.014
01907,42.474,-70.907
01908,42.428,-70.926
01913,42.851,-70.956
01915,42.571,-70.868
01921,42.683,-71.018
01922,42.757,-70.914
01923,42.574,-70.951
01929,42.64,-70.771
01930,42.62,-70.682
01937,42.586,-70.984
01938,42.684,-70.843
01940,42.534,-71.038
01944,42.577,-70.767
01945,42.502,-70.859
01949,42.607,-71.01
01950,42.812,-70.891
01951,42.773,-70.85
01952,42.845,-70.841
01960,42.534,-70.97
01966,42.641,-70.62
01969,42.721,-70.891
01970,42.524,-70.871
01982,42.626,-70.857
01983,42.641,-70.943
01984,42.601,-70.883
01985,42.8,-70.964
02019,42.077,-71.474
02021,42.176,-71.125
02025,42.236,-70.814
02026,42.247,-71.179
02030,42.234,-71.291
02032,42.157,-71.216
02035,42.061,-71.246
02038,42.085,-71.411
02043,42.216,-70.881
02045,42.292,-70.924
02047,42.134,-70.686
02048,42.017,-71.216
02050,42.115,-70.71
02052,42.185,-71.305
02053,42.156,-71.43
02054,42.173,-71.364
02056,42.114,-71.334
02061,42.165,-70.819
02062,42.187,-71.196
02066,42.202,-70.758
02067,42.108,-71.182
02071,42.103,-71.274
02072,42.119,-71.104
02081,42.147,-71.271
02090,42.22,-71.217
02093,42.053,-71.357
02108,42.358,-71.065
02109,42.367,-71.05
02110,42.362,-71.048
02111,42.351,-71.059
02113,42.365,-71.055
02114,42.363,-71.069
02115,42.337,-71.106
02116,42.351,-71.076
02118,42.338,-71.07
02119,42.324,-71.085
02120,42.332,-71.097
02121,42.306,-71.086
02122,42.291,-71.042
02124,42.286,-71.071
02125,42.316,-71.056
02126,42.274,-71.097
02127,42.335,-71.039
02128,42.361,-71.007
02129,42.38,-71.061
02130,42.309,-71.114
02131,42.284,-71.126
02132,42.28,-71.162
02134,42.358,-71.129
02135,42.35,-71.154
02136,42.255,-71.129
02138,42.38,-71.135
02139,42.363,-71.103
02140,42.392,-71.134
02141,42.37,-71.083
02142,42.361,-71.082
02143,42.381,-71.097
02144,42.4,-71.123
02145,42.392,-71.09
02148,42.429,-71.059
02149,42.406,-71.055
02150,42.397,-71.031
02151,42.418,-71.001
02152,42.373,-70.975
02155,42.424,-71.108
02163,42.366,-71.123
02169,42.248,-71.002
02170,42.266,-71.016
02171,42.293,-71.018
02176,42.456,-71.059
02180,42.474,-71.098
02184,42.206,-71.002
02186,42.242,-71.082
02188,42.205,-70.958
02189,42.21,-70.928
02190,42.167,-70.952
02191,42.243,-70.942
02199,42.347,-71.082
02203,42.361,-71.059
02210,42.347,-71.039
02215,42.348,-71.103
02301,42.078,-71.042
02302,42.089,-70.998
02322,42.132,-71.054
02324,41.972,-70.979
02330,41.879,-70.743
02332,42.044,-70.706
02333,42.037,-70.94
02338,42.003,-70.863
02339,42.123,-70.856
02341,42.05,-70.867
02343,42.14,-70.997
02346,41.878,-70.869
02347,41.834,-70.957
02351,42.12,-70.957
02356,42.061,-71.12
02357,42.055,-71.081
02359,42.068,-70.806
02360,41.882,-70.631
02364,41.987,-70.742
02366,41.851,-70.655
02367,41.959,-70.803
02368,42.176,-71.052
02370,42.13,-70.911
02375,42.003,-71.077
02379,42.022,-71.027
02382,42.079,-70.939
02420,42.457,-71.215
02421,42.439,-71.24
02445,42.325,-71.135
02446,42.344,-71.122
02451,42.398,-71.256
02452,42.393,-71.214
02453,42.37,-71.241
02457,42.299,-71.274
02458,42.354,-71.188
02459,42.315,-71.192
02460,42.352,-71.208
02461,42.317,-71.207
02462,42.329,-71.256
02464,42.313,-71.219
02465,42.349,-71.226
02466,42.344,-71.249
02467,42.314,-71.153
02468,42.329,-71.23
02472,42.369,-71.178
02474,42.421,-71.156
02476,42.416,-71.176
02478,42.395,-71.18
02481,42.312,-71.276
02482,42.293,-71.299
02492,42.276,-71.245
02493,42.361,-71.303
02494,42.299,-71.233
02532,41.752,-70.598
02534,41.669,-70.619
02535,41.337,-70.761
02536,41.596,-70.567
02537,41.728,-70.436
02538,41.777,-70.642
02539,41.378,-70.522
02540,41.574,-70.632
02542,41.708,-70.546
02543,41.479,-70.767
02553,41.712,-70.623
02554,41.291,-70.093
02556,41.639,-70.625
02557,41.442,-70.576
02558,41.745,-70.654
02559,41.69,-70.616
02561,41.767,-70.541
02562,41.787,-70.527
02563,41.728,-70.477
02564,41.272,-69.984
02568,41.459,-70.613
02571,41.761,-70.696
02575,41.4,-70.657
02576,41.772,-70.763
02584,41.259,-70.007
02601,41.658,-70.298
02630,41.707,-70.313
02631,41.748,-70.066
02632,41.659,-70.347
02633,41.69,-69.972
02635,41.624,-70.439
02637,41.706,-70.271
02638,41.73,-70.197
02639,41.668,-70.137
02641,41.751,-70.153
02642,41.841,-69.977
02643,41.798,-69.937
02644,41.683,-70.511
02645,41.711,-70.058
02646,41.671,-70.071
02647,41.63,-70.31
02648,41.671,-70.415
02649,41.617,-70.49
02650,41.702,-69.961
02651,41.875,-70.003
02652,42.05,-70.095
02653,41.769,-69.974
02655,41.628,-70.392
02657,42.06,-70.2
02659,41.681,-70.024
02660,41.708,-70.159
02663,41.894,-70.012
02664,41.675,-70.196
02666,41.991,-70.046
02667,41.922,-70.023
02668,41.716,-70.363
02669,41.667,-69.99
02670,41.66,-70.171
02671,41.671,-70.113
02672,41.636,-70.314
02673,41.656,-70.247
02675,41.704,-70.232
02702,41.785,-71.059
02703,41.932,-71.295
02713,41.441,-70.902
02715,41.804,-71.153
02717,41.76,-70.973
02718,41.862,-71.012
02719,41.634,-70.871
02720,41.725,-71.121
02721,41.675,-71.148
02723,41.693,-71.13
02724,41.684,-71.177
02725,41.72,-71.188
02726,41.76,-71.145
02738,41.704,-70.752
02739,41.666,-70.815
02740,41.637,-70.938
02743,41.718,-70.901
02744,41.606,-70.914
02745,41.701,-70.951
02746,41.661,-70.94
02747,41.665,-71.016
02748,41.553,-70.971
02760,41.973,-71.334
02762,42.013,-71.337
02763,41.967,-71.309
02764,41.852,-71.154
02766,41.965,-71.182
02767,41.941,-71.048
02769,41.847,-71.245
02770,41.76,-70.838
02771,41.842,-71.322
02777,41.758,-71.214
02779,41.838,-71.078
02780,41.909,-71.118
02790,41.599,-71.082
02791,41.529,-71.078
